name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,high_24h,low_24h,last_updated,market_cap_billions,volume_billions,price_change_absolute,volatility,market_dominance,current_price_formatted,market_cap_category
Bitcoin,btc,66413.0,1331519797491,51655053716.0,-1.75959,67968.0,65708.0,2026-06-03T15:17:55.883Z,1331.52,51.66,2260.0,3.402948217969373,58.5339705147492,"$66,413.00",Large Cap (>$100B)
Ethereum,eth,1847.86,223143490459,24766452308.0,-4.10124,1935.35,1823.85,2026-06-03T15:17:55.796Z,223.14,24.77,111.5,6.0340069052850325,9.809448207752698,"$1,847.86",Large Cap (>$100B)
Tether,usdt,0.998611,187842763115,161318347830.0,0.0401,0.998766,0.998211,2026-06-03T15:17:55.166Z,187.84,161.32,0.0005550000000000832,0.055577196726261095,8.257618683778336,$1.00,Large Cap (>$100B)
BNB,bnb,635.76,85662327801,1753287383.0,-4.88724,669.55,629.91,2026-06-03T15:17:55.952Z,85.66,1.75,39.639999999999986,6.2350572543098,3.7657391044254496,$635.76,Mid Cap ($10B-$100B)
USDC,usdc,0.999701,76003453736,21112540228.0,0.00013,0.999888,0.99947,2026-06-03T15:17:55.502Z,76.0,21.11,0.00041800000000002946,0.04181250193808243,3.3411323875056382,$1.00,Mid Cap ($10B-$100B)
XRP,xrp,1.23,75963864377,2884537965.0,-0.43168,1.24,1.2,2026-06-03T15:17:55.468Z,75.96,2.88,0.040000000000000036,3.2520325203252063,3.3393920285738594,$1.23,Mid Cap ($10B-$100B)
Solana,sol,73.93,42754357849,4093521798.0,-3.93399,77.19,72.73,2026-06-03T15:17:55.009Z,42.75,4.09,4.459999999999994,6.0327336669822715,1.8794931374103863,$73.93,Mid Cap ($10B-$100B)
TRON,trx,0.334403,31708542872,674471588.0,-0.6203,0.338246,0.329351,2026-06-03T15:17:51.634Z,31.71,0.67,0.008894999999999986,2.659964174962541,1.3939161227888945,$0.33,Mid Cap ($10B-$100B)
Figure Heloc,figr_heloc,1.035,19082728449,63163546.0,0.33092,1.035,1.031,2026-06-03T15:17:55.547Z,19.08,0.06,0.0040000000000000036,0.3864734299516912,0.8388819050828132,$1.03,Mid Cap ($10B-$100B)
Hyperliquid,hype,72.52,16082965170,1459057117.0,2.08369,73.64,68.04,2026-06-03T15:17:54.277Z,16.08,1.46,5.599999999999994,7.722007722007715,0.7070114998097738,$72.52,Mid Cap ($10B-$100B)
Dogecoin,doge,0.093293,14409916978,1236636960.0,-2.57878,0.095893,0.09109,2026-06-03T15:17:54.165Z,14.41,1.24,0.004803000000000002,5.148296228012822,0.6334638486784775,$0.09,Mid Cap ($10B-$100B)
USDS,usds,0.999636,10955742319,57975866.0,0.02201,0.999818,0.999395,2026-06-03T15:17:53.973Z,10.96,0.06,0.0004229999999999512,0.042315402806616734,0.4816173962083884,$1.00,Mid Cap ($10B-$100B)
Zcash,zec,626.52,10474633050,1349126730.0,11.01746,637.95,560.69,2026-06-03T15:17:54.157Z,10.47,1.35,77.25999999999999,12.331609525633658,0.46046770258829867,$626.52,Mid Cap ($10B-$100B)
LEO Token,leo,10.07,9271438935,323593.0,0.61404,10.22,9.97,2026-06-03T15:17:50.427Z,9.27,0.0,0.25,2.4826216484607744,0.4075749637918965,$10.07,Small Cap ($1B-$10B)
Rain,rain,0.0140417,8741699532,51337260.0,-0.04272,0.01419011,0.01348636,2026-06-03T15:17:55.731Z,8.74,0.05,0.0007037500000000012,5.011857538617128,0.38428747632522037,$0.01,Small Cap ($1B-$10B)
Cardano,ada,0.213512,7927722801,653205484.0,-1.79097,0.218528,0.20843,2026-06-03T15:17:30.685Z,7.93,0.65,0.010097999999999996,4.729476563378169,0.3485048390247276,$0.21,Small Cap ($1B-$10B)
Stellar,xlm,0.226581,7631837068,851931784.0,3.53083,0.233011,0.215479,2026-06-03T15:17:51.252Z,7.63,0.85,0.017531999999999992,7.737630251433258,0.3354976221558594,$0.23,Small Cap ($1B-$10B)
Monero,xmr,354.42,6644980682,185399305.0,5.10621,356.15,322.0,2026-06-03T15:17:55.742Z,6.64,0.19,34.14999999999998,9.635460752779181,0.2921151484523046,$354.42,Small Cap ($1B-$10B)
Chainlink,link,8.44,6139743469,406548194.0,-2.36251,8.7,8.21,2026-06-03T15:17:37.170Z,6.14,0.41,0.48999999999999844,5.805687203791451,0.26990478388662414,$8.44,Small Cap ($1B-$10B)
Canton,cc,0.155283,6014555709,25379205.0,3.6556,0.155457,0.146331,2026-06-03T15:17:30.032Z,6.01,0.03,0.009126000000000023,5.877011649697664,0.264401496089886,$0.16,Small Cap ($1B-$10B)
WhiteBIT Coin,wbt,48.55,5759393083,178761546.0,-2.62801,49.94,48.01,2026-06-03T15:17:52.930Z,5.76,0.18,1.9299999999999997,3.975283213182286,0.25318447802159033,$48.55,Small Cap ($1B-$10B)
Toncoin,ton,2.08,5549958303,234587911.0,6.22754,2.09,1.92,2026-06-03T15:17:52.398Z,5.55,0.23,0.16999999999999993,8.17307692307692,0.24397766843424293,$2.08,Small Cap ($1B-$10B)
LAB,lab,16.35,5112586510,157806842.0,-16.73274,27.3,8.29,2026-06-03T15:17:29.995Z,5.11,0.16,19.01,116.26911314984709,0.22475068609144525,$16.35,Small Cap ($1B-$10B)
Bitcoin Cash,bch,245.08,4903571955,594598045.0,-13.23925,286.11,243.48,2026-06-03T15:17:45.338Z,4.9,0.59,42.630000000000024,17.394320221968346,0.21556234970878163,$245.08,Small Cap ($1B-$10B)
USD1,usd1,0.998599,4665147312,1744283740.0,0.09659,0.998907,0.997353,2026-06-03T15:17:54.981Z,4.67,1.74,0.0015539999999999443,0.15561802084720136,0.20508113790130503,$1.00,Small Cap ($1B-$10B)
Ethena USDe,usde,0.998648,4505811591,102352010.0,0.0297,0.999103,0.998351,2026-06-03T15:17:53.422Z,4.51,0.1,0.0007519999999999749,0.07530180804447362,0.19807669650093343,$1.00,Small Cap ($1B-$10B)
MemeCore,m,3.36,4398461817,8913014.0,1.15149,3.41,3.24,2026-06-03T15:17:54.411Z,4.4,0.01,0.16999999999999993,5.0595238095238075,0.19335757139447896,$3.36,Small Cap ($1B-$10B)
Dai,dai,0.999551,4372626332,269704766.0,-0.02171,0.999879,0.999382,2026-06-03T15:17:30.591Z,4.37,0.27,0.0004969999999999697,0.04972232532406747,0.1922218364845859,$1.00,Small Cap ($1B-$10B)
NEAR Protocol,near,3.02,3904008653,1383843332.0,18.7579,3.06,2.47,2026-06-03T15:17:51.475Z,3.9,1.38,0.5899999999999999,19.536423841059598,0.17162127654025536,$3.02,Small Cap ($1B-$10B)
Hedera,hbar,0.086754,3762406869,99188484.0,-2.49525,0.089042,0.085291,2026-06-03T15:17:53.781Z,3.76,0.1,0.0037509999999999905,4.323719943748981,0.16539642380797903,$0.09,Small Cap ($1B-$10B)
Litecoin,ltc,47.68,3682779458,418307542.0,-1.1215,48.44,46.45,2026-06-03T15:17:52.235Z,3.68,0.42,1.9899999999999949,4.173657718120795,0.1618959812787561,$47.68,Small Cap ($1B-$10B)
Avalanche,avax,8.24,3555118196,270676177.0,-2.24119,8.47,8.04,2026-06-03T15:17:51.561Z,3.56,0.27,0.4300000000000015,5.218446601941765,0.15628395766493958,$8.24,Small Cap ($1B-$10B)
Sui,sui,0.829973,3341545591,765708029.0,-0.21347,0.838808,0.795079,2026-06-03T15:17:52.776Z,3.34,0.77,0.04372900000000002,5.268725609146324,0.14689524817118332,$0.83,Small Cap ($1B-$10B)
Shiba Inu,shib,5.28e-06,3111678701,87666247.0,-0.28747,5.34e-06,5.1e-06,2026-06-03T15:17:51.882Z,3.11,0.09,2.399999999999994e-07,4.545454545454533,0.13679023750072195,$0.00,Small Cap ($1B-$10B)
PayPal USD,pyusd,0.999878,2946098466,190590363.0,-6e-05,1.001,0.999299,2026-06-03T15:17:52.853Z,2.95,0.19,0.0017009999999998415,0.17012075473206145,0.12951128557557737,$1.00,Small Cap ($1B-$10B)
Circle USYC,usyc,1.13,2925454238,562878.0,0.00011,1.13,1.13,2026-06-03T15:17:53.977Z,2.93,0.0,0.0,0.0,0.12860375972779894,$1.13,Small Cap ($1B-$10B)
Cronos,cro,0.063268,2835081295,11063388.0,-0.96784,0.063886,0.061909,2026-06-03T15:17:42.987Z,2.84,0.01,0.0019769999999999996,3.124802427767591,0.12463094070485922,$0.06,Small Cap ($1B-$10B)
Tether Gold,xaut,4421.32,2710265013,264521498.0,-1.29199,4479.56,4409.14,2026-06-03T15:17:51.558Z,2.71,0.26,70.42000000000007,1.5927370106664995,0.11914398318149727,"$4,421.32",Small Cap ($1B-$10B)
Global Dollar,usdg,0.999706,2610595880,102337944.0,-0.01607,1.0,0.999539,2026-06-03T15:17:54.248Z,2.61,0.1,0.0004610000000000447,0.046113557385875914,0.11476250113125232,$1.00,Small Cap ($1B-$10B)
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2421243642,0.0,0.0,1.0,1.0,2026-06-03T15:15:04.730Z,2.42,0.0,0.0,0.0,0.10643852552317001,$1.00,Small Cap ($1B-$10B)
Bittensor,tao,231.07,2217668899,316160391.0,-5.05705,244.19,221.1,2026-06-03T15:17:52.799Z,2.22,0.32,23.090000000000003,9.992642922058252,0.09748932474766281,$231.07,Small Cap ($1B-$10B)
Ondo US Dollar Yield,usdy,1.12,2137441877,4690935.0,-1.29829,1.14,1.12,2026-06-03T15:17:52.934Z,2.14,0.0,0.019999999999999796,1.7857142857142672,0.09396252315666664,$1.12,Small Cap ($1B-$10B)
Ondo,ondo,0.428724,2084712968,446634217.0,19.0978,0.429293,0.356104,2026-06-03T15:17:52.750Z,2.08,0.45,0.073189,17.071355930622033,0.09164454605223554,$0.43,Small Cap ($1B-$10B)
PAX Gold,paxg,4439.54,2047072681,152376281.0,-1.24413,4496.28,4426.0,2026-06-03T15:17:44.076Z,2.05,0.15,70.27999999999975,1.5830468922455871,0.0899898688528606,"$4,439.54",Small Cap ($1B-$10B)
Mantle,mnt,0.609161,2011628943,37869128.0,-2.41547,0.624239,0.596159,2026-06-03T15:17:53.092Z,2.01,0.04,0.028079999999999994,4.609618803567529,0.0884317525417597,$0.61,Small Cap ($1B-$10B)
World Liberty Financial,wlfi,0.060662,1926035295,42897918.0,2.74529,0.061392,0.058701,2026-06-03T15:17:54.321Z,1.93,0.04,0.002690999999999999,4.436055520754342,0.0846690326199662,$0.06,Small Cap ($1B-$10B)
Polkadot,dot,1.12,1893103510,204484808.0,0.97946,1.13,1.062,2026-06-03T15:17:51.783Z,1.89,0.2,0.06799999999999984,6.071428571428556,0.08322134244230582,$1.12,Small Cap ($1B-$10B)
Uniswap,uni,2.91,1812407981,175175017.0,3.12054,2.93,2.75,2026-06-03T15:17:51.746Z,1.81,0.18,0.18000000000000016,6.185567010309283,0.07967394515684412,$2.91,Small Cap ($1B-$10B)
Aster,aster,0.697241,1800873612,205210038.0,4.87286,0.698427,0.653241,2026-06-03T15:17:55.836Z,1.8,0.21,0.04518600000000006,6.480686018177368,0.07916689117520266,$0.70,Small Cap ($1B-$10B)
Ripple USD,rlusd,0.999829,1799928842,199232563.0,-0.02344,1.0,0.999602,2026-06-03T15:17:53.855Z,1.8,0.2,0.00039800000000000946,0.03980680696399179,0.07912535883041333,$1.00,Small Cap ($1B-$10B)
